Title,Citation,Link/DOI,Description,Research_Theme 
"Groundwater Development Potential and Conceptual Hydrogeologic Model for Tutuila, American Samoa","Shuler, C.K., El-Kadi, A.I., and Eyre, P.R. (2018). WRRC technical report. (2019)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fraw%2Fmaster%2FReports%2F1_Shuler_etal_2019_Conceptual_Model.pdf&sa=D&sntz=1&usg=AOvVaw1jf_HPBUIdn_3aT0rBzVer,Compiling hydrological and subsurface datasets to update a conceptual hydrogeologic model for Tutuila's groundwater and surface water resources.,Hydrology and Hydrogeology
"Groundwater Recharge for Tutuila, American Samoa Under Current and Projected Climate as Estimated with SWB2, a Soil Water Balance Model","Shuler, C.K. and El-Kadi, A.I. (2018). WRRC Special Report. (2018)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fraw%2Fmaster%2FReports%2F4_Shuler_El-Kadi_2018_Groundwater_Recharge.pdf&sa=D&sntz=1&usg=AOvVaw0PwsTmfKTRxsR61BXSS0uF,Using a soil water-balance model (SWB2) to estimate high-resolution groundwater recharge under present conditions and future climate change scenarios.,Climate and Resilience
UH-WRRC – ASPA Hydrological Monitoring Network Handbook,"Shuler, C.K. and El-Kadi, A.I. (2018). WRRC Special Report. (2018)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fraw%2Fmaster%2FReports%2F2_Shuler_El-Kadi_2018_Hydrological_Monitoring.pdf&sa=D&sntz=1&usg=AOvVaw3J9rVdTOshw0L8_Ll6KWqR,A comprehensive care and maintenance handbook for the 21 instruments comprising the joint monitoring network in American Samoa.,Hydrology and Hydrogeology
"Provisional Hydrogeologic Data and Recommendations for Sustainable Groundwater Management, Tutuila American Samoa","Shuler, C.K. and El-Kadi, A.I. (2018). WRRC Special Report. (2018)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fraw%2Fmaster%2FReports%2F3_Shuler_El-Kadi_2018_Prov_GW_Recs.pdf&sa=D&sntz=1&usg=AOvVaw1SNFjDJvZXhR0K_eSKL3Nt,Providing interim management recommendations and identifying data gaps for sustainable groundwater yield.,Hydrology and Hydrogeology
"Groundwater Development Potential & Exploratory Drilling Recommendations Tutuila, American Samoa","Shuler, C.K., Paul Eyre, and El-Kadi, A.I. (2018). WRRC Special Report. (2018)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fblob%2Fmaster%2FReports%2FGroundwater_Development_Potential_and_Exploratory_Shuler_et_al_2017.pdf&sa=D&sntz=1&usg=AOvVaw2Y5vZvKwxfCy2TpThIXhft,Establishing a framework and prioritizing target locations for exploratory drilling of new groundwater sources.,Hydrology and Hydrogeology
"Island Wide Nutrient Modeling and Quantification of Coastal Freshwater Discharge for Tutuila, American Samoa.","Shuler, C.K. Prepared for: American Samoa Environmental Protection Agency (2019)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fraw%2Fmaster%2FReports%2FFinalReport_R2R_2.0_16Dec2019_.pdf&sa=D&sntz=1&usg=AOvVaw3IxzqdEqchuce8Up5ixUGv,Developing an island-wide dissolved inorganic nitrogen (DIN) loading model to evaluate impacts on reef environments.,Hydrology and Hydrogeology
American Samoa Water Use Data: A Workplan for Evaluation and Improvement,"Shuler, C.K. & Eyre, P. Prepared for: American Samoa Power Authority (2018)",https://www.google.com/url?q=https%3A%2F%2Fgithub.com%2Fcshuler%2FPhD_Archive%2Fraw%2Fmaster%2FReports%2FASPA_WUDR_Workplan_Final.pdf&sa=D&sntz=1&usg=AOvVaw0lOgGA8p-9Tf0ihiEV29Yn,Assessing the current status of territory-wide water-use data collection and sharing feasibility.,Hydrology and Hydrogeology
Ridge to Reef Management Implications for Development of an Open-Source DIN -Loading Model in American Samoa,"Shuler, C. K., Comeros-Raynal, M. (2020). Environmental Management . (2020)",https://www.google.com/url?q=https%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00267-020-01314-4&sa=D&sntz=1&usg=AOvVaw0Fl2ZyVRRhcClMAP5Vz-ZC,Presenting a method to estimate coastal dissolved inorganic nitrogen (DIN) loads at a watershed scale using open-source water budget modeling.,Hydrology and Hydrogeology
"Collaborative Groundwater Modeling: Open Source, Cloud-Based, Applied Science at a Small-Island Water Utility Scale","Shuler, C. K., Mariner, M. (2020). Environmental Modeling and Software. (2020)",https://www.google.com/url?q=https%3A%2F%2Fwww.sciencedirect.com%2Fscience%2Farticle%2Fpii%2FS136481521930934X&sa=D&sntz=1&usg=AOvVaw3b8Ga7B5bbdWBik-YnpMGL,Demonstrating an entirely open-source Python- and Jupyter Notebook-based collaborative groundwater modeling framework via GitHub.,Hydrology and Hydrogeology
"Understanding Surface Water - Groundwater Interaction, Submarine Groundwater Discharge, and Associated Nutrient Loading in a Small Tropical Island Watershed.","Shuler, C. K., Dulai, H., Leta, O.T., Fackrell, J., Welch, E., & El-Kadi, A.I. Journal of Hydrology (2019)",https://www.google.com/url?q=https%3A%2F%2Fwww.sciencedirect.com%2Fscience%2Farticle%2Fabs%2Fpii%2FS0022169419310777&sa=D&sntz=1&usg=AOvVaw2A0i_Q1Vs_7FYd1eU9oiWy,Developing a paired watershed-modeling and field-method approach using Radon-222 to understand groundwater-surface water interactions.,Hydrology and Hydrogeology
